Date,ICCO daily price (US$/tonne),TAVG,TMIN,TMAX,PRCP
2017-10-25,2089.82,82.375,74.83333333333333,89.57190476190476,0.15
2017-10-24,2091.2799999999997,81.2,73.875,90.14285714285714,0.325
2017-10-23,2125.8500000000004,81.28571428571429,74.66666666666667,89.6234126984127,0.32499999999999996
2017-10-20,2134.16,79.7,72.71428571428571,89.25,0.23
2017-10-19,2140.8300000000004,79,73.66666666666667,87.8,0.04
2017-10-18,2085.42,81.88888888888889,73,89.85714285714286,0
2017-10-17,2083.07,81.25,73.28571428571429,90.16666666666667,0.060000000000000005
2017-10-16,2070.88,81,72.66666666666667,89.66666666666667,0.26333333333333336
2017-10-13,2108.4300000000003,82,72.33333333333333,89.16666666666667,0.56
2017-10-12,2111.05,80.88888888888889,73.25,88.57142857142857,0.182
2017-10-11,2124.12,79.77777777777777,72.75,87.57142857142857,0.34833333333333333
2017-10-10,2068.9100000000003,81.33333333333333,74.57142857142857,90,0.87
2017-10-09,2039.1299999999999,80.4,72.7,88.77777777777777,0
2017-10-06,2100.9300000000003,79.5,74.08518518518518,89.38,0
2017-10-05,2097.04,80.5,73.4,89,0.6966666666666667
2017-10-04,2087.4900000000002,80.5,73.5,90,0.01
2017-10-03,2084.55,82.42857142857143,73.33333333333333,90.4,0.495
2017-10-02,2050.77,81,74.11111111111111,89,0.05333333333333334
2017-09-29,2050.42,77.4,73,86.25,0.925
2017-09-28,2000.41,81,73.5,89.83333333333333,0
2017-09-27,2028.6499999999999,79.25,72.76666666666667,85.25,0
2017-09-26,1991.87,79.88888888888889,74.33333333333333,86.05714285714286,0
2017-09-25,1996.55,80,71,88.28571428571429,0.426
2017-09-22,2006.34,79.75,73.25277777777778,86,0
2017-09-21,2042.83,80,72.5,85.56349206349206,0.04
2017-09-20,2024.4,79.4,73.42222222222222,85.66666666666667,0
2017-09-19,1999.54,78.44444444444444,73.494708994709,86.22222222222223,0
2017-09-18,2005.3799999999999,78.8,73.2,85.02142857142857,0.007142857142857143
2017-09-15,2030.1899999999998,79.25,74,86.25,0
2017-09-14,2000.97,79.7,72.6,86.6,0.02
2017-09-13,2008.8799999999999,78.875,73.85714285714286,84.2,0.248
2017-09-12,1979.23,78.88888888888889,71.875,83.4,0.46
2017-09-11,1962.8,77,72.8,84.31777777777778,0.1
2017-09-08,1966.5,77.5,72.6362433862434,82.66666666666667,0
2017-09-07,1944.22,76.66666666666667,72.66666666666667,81.88888888888889,0.35000000000000003
2017-09-06,1958.98,78,73.71428571428571,84.43055555555556,0.07999999999999999
2017-09-05,1987.6699999999998,78.125,72.5,85.83333333333333,0.12
2017-09-04,1986.12,77.3,72.22222222222223,83.33333333333333,0.0575
2017-09-01,1992.3,77,72.71428571428571,84.25,0.046
2017-08-31,1968.96,77,73,81.66666666666667,0.02
2017-08-30,1970.1599999999999,77.75,71.36666666666667,81.375,0
2017-08-29,2002.35,77.4,72.5,82.88888888888889,0
2017-08-28,2014.59,76,71.66666666666667,82.42857142857143,0
2017-08-25,1969.4,75.44444444444444,71.71428571428571,84.06964285714285,0.01
2017-08-24,1932.26,80,71.92857142857143,86.71428571428571,0
2017-08-23,1912.22,77.1,71.57142857142857,82.5,0.06666666666666668
2017-08-22,1923.78,77.3,71.8,82.9,0.305
2017-08-21,1941.25,77.75,72,83.85714285714286,0
2017-08-18,1926.57,77.5,73,81.5,0.08
2017-08-17,1917.12,75.5,71,82,0
2017-08-16,1889.47,77,71.85714285714286,82.8,0
2017-08-15,1914.25,78,73.33333333333333,83.32857142857142,0.03333333333333333
2017-08-14,1957.46,77.33333333333333,73.25,82,0.019999999999999997
2017-08-11,2009.34,78,72.83333333333333,81.96428571428571,0
2017-08-10,1999.1599999999999,76.375,72.42857142857143,81,0.01
2017-08-09,2034.07,78.44444444444444,72.83333333333333,84.14285714285714,0
2017-08-08,2056.8500000000004,77.88888888888889,72.8,82.57142857142857,0
2017-08-07,2066.8700000000003,74.85714285714286,71.16666666666667,81.99920634920635,0.008
2017-08-04,2048.8100000000004,78.25,72.16666666666667,83,0.14333333333333334
2017-08-03,2106.14,77.5,73.14,80.88888888888889,0
2017-08-02,2106.51,NA,NA,NA,NA
