Month,Mid.Rate,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Cocoa_Trend,logprice,Price_NY,log_return_rate,Is_Holiday,YEAR,MONTH_NUM
2015-05-01,3.8982774193548386,25.822903225806453,29.524838709677418,22.803870967741933,4.116451612903226,19.307741935483868,20.0,8.01858149575708,3038.4829032258067,0.06995750752524488,0,2015,5
2015-06-01,4.198110000000001,24.909,28.608333333333334,21.999666666666666,10.073666666666666,15.120000000000001,21.0,8.067269536346224,3189.3663333333334,0.06630287166292917,0,2015,6
2015-07-01,3.512770967741935,24.563225806451616,28.483548387096775,21.390645161290323,3.3370967741935487,15.647419354838709,20.0,8.093010013548046,3271.9412903225802,-0.014822726173560624,0,2015,7
2015-08-01,3.8673709677419352,24.59193548387097,28.97,21.12258064516129,1.256451612903226,13.409032258064517,22.0,8.039581325702226,3101.6022580645163,-0.035571873083579085,0,2015,8
2015-09-01,3.7721533333333337,25.82133333333333,31.252666666666663,21.750333333333334,3.1536666666666666,13.816666666666666,22.0,8.079920293399399,3229.605666666667,-0.0033082736940201612,0,2015,9
2015-10-01,3.7662967741935485,25.712580645161292,29.71741935483871,22.49741935483871,9.54258064516129,16.649032258064516,21.0,8.048309707221877,3128.98,0.046841817729383485,1,2015,10
2015-11-01,3.7900966666666664,25.709,30.095666666666666,21.88266666666667,3.802,17.562333333333335,21.0,8.103342240777875,3305.8503333333333,0.022974231643709497,1,2015,11
2015-12-01,3.794609677419355,23.96709677419355,30.868709677419353,17.815806451612904,0.32612903225806456,16.858709677419355,21.0,8.09836029410945,3289.8161290322582,-0.03872212682342755,1,2015,12
2016-01-01,3.809622580645161,26.200322580645164,34.391935483870974,19.473870967741938,0.08967741935483872,17.195806451612906,25.0,7.980230456840655,2925.328064516129,-0.14955294913216333,0,2016,1
2016-02-01,3.874631034482759,28.621379310344828,36.49172413793104,22.08034482758621,0.6613793103448276,17.308275862068964,25.0,7.955203307921733,2850.706551724138,0.025128939567447585,0,2016,2
2016-03-01,3.8483451612903226,28.556451612903224,34.420967741935485,24.116774193548387,4.991290322580645,18.346129032258066,21.0,8.00965589975916,3010.3983870967745,0.007946926398944199,1,2016,3
2016-04-01,3.81773,27.647666666666666,32.40533333333333,23.982666666666667,3.0643333333333334,20.721666666666668,21.0,8.008665292853625,3009.3226666666665,0.10487610425222194,1,2016,4
2016-05-01,3.8145870967741935,26.575806451612905,31.103870967741937,23.166774193548385,6.451612903225806,17.37483870967742,22.0,8.01071036865161,3014.5374193548387,-0.06042824377661807,0,2016,5
2016-06-01,3.8848100000000003,24.869000000000003,28.461333333333336,22.023000000000003,5.806333333333333,15.483666666666666,24.0,8.022145918078257,3048.2343333333333,-0.023525198809321246,0,2016,6
2016-07-01,3.938003225806452,24.674838709677417,28.705161290322582,21.60258064516129,1.7774193548387098,15.031612903225808,24.0,7.997439891266093,2974.8822580645165,-0.04756065716514108,0,2016,7
2016-08-01,3.9448903225806453,25.44451612903226,30.68935483870968,21.499032258064517,3.232258064516129,14.238387096774193,22.0,8.00141475336544,2985.6667741935485,-0.008162578706365997,0,2016,8
2016-09-01,3.9570266666666667,24.928,28.817999999999998,21.820333333333334,9.163666666666668,14.599333333333334,23.0,7.945406305108236,2823.061666666667,-0.045265142098088684,0,2016,9
2016-10-01,3.9674387096774195,25.58225806451613,29.57967741935484,22.29516129032258,7.736129032258065,17.07193548387097,25.0,7.895703571337355,2686.0974193548386,-0.02860402114009128,1,2016,10
2016-11-01,3.9737500000000003,25.779,29.861333333333334,22.303,2.518,18.423333333333336,27.0,7.808462571863527,2462.5116666666668,-0.10693128924684756,1,2016,11
2016-12-01,4.101054838709677,25.70935483870968,30.60483870967742,21.63967741935484,0.783225806451613,16.81677419354839,29.0,7.723948746706015,2263.1183870967743,-0.11932813380039958,1,2016,12
